,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Target: Mean_temp
0,2017.07.02,6.9,0.0,6.1,14.0,20.5
1,2017.07.03,6.7,0.0,6.9,0.0,19.5
2,2017.07.04,5.3,0.0,6.7,0.0,23.5
3,2017.07.05,4.2,0.0,5.3,0.0,23.5
4,2017.07.06,5.6,0.0,4.2,0.0,22.5
5,2017.07.07,4.7,0.0,5.6,0.0,24.0
6,2017.07.08,6.7,0.0,4.7,0.0,24.0
7,2017.07.09,2.2,0.0,6.7,0.0,28.0
8,2017.07.10,6.4,21.0,2.2,0.0,26.82
9,2017.07.11,3.7,0.4,6.4,21.0,25.845
10,2017.07.12,2.2,1.5,3.7,0.4,21.04
11,2017.07.13,7.0,1.0,2.2,1.5,19.55
12,2017.07.14,1.6,0.0,7.0,1.0,20.009999999999998
13,2017.07.15,5.2,2.4,1.6,0.0,19.895
14,2017.07.16,3.4,0.0,5.2,2.4,22.810000000000002
15,2017.07.17,1.5,0.0,3.4,0.0,25.36
16,2017.07.18,1.3,0.0,1.5,0.0,25.395
17,2017.07.19,2.3,0.0,1.3,0.0,26.740000000000002
18,2017.07.20,1.6,0.0,2.3,0.0,28.11
19,2017.07.21,4.0,0.0,1.6,0.0,27.865000000000002
20,2017.07.22,1.9,5.0,4.0,0.0,27.735
21,2017.07.23,2.5,0.6,1.9,5.0,26.395000000000003
22,2017.07.24,3.1,8.3,2.5,0.6,18.6
23,2017.07.25,8.4,12.9,3.1,8.3,16.95
24,2017.07.26,5.9,0.0,8.4,12.9,16.75
25,2017.07.27,7.1,1.0,5.9,0.0,19.5
26,2017.07.28,6.8,0.2,7.1,1.0,21.2
27,2017.07.29,3.3,0.0,6.8,0.2,22.15
28,2017.07.30,4.7,0.0,3.3,0.0,24.15
29,2017.07.31,3.8,0.0,4.7,0.0,26.25
30,2017.08.01,3.9,0.0,3.8,0.0,29.05
31,2017.08.02,5.5,0.0,3.9,0.0,27.55
32,2017.08.03,2.1,0.0,5.5,0.0,29.7
33,2017.08.04,2.1,2.8,2.1,0.0,29.349999999999998
34,2017.08.05,6.6,0.0,2.1,2.8,27.900000000000002
35,2017.08.06,7.9,0.4,6.6,0.0,20.15
36,2017.08.07,4.8,4.2,7.9,0.4,21.45
37,2017.08.08,3.0,0.0,4.8,4.2,23.75
38,2017.08.09,4.6,0.0,3.0,0.0,29.5
39,2017.08.10,5.3,0.0,4.6,0.0,28.349999999999998
40,2017.08.11,6.0,0.0,5.3,0.0,21.7
41,2017.08.12,8.6,0.5,6.0,0.0,21.75
42,2017.08.13,8.1,0.0,8.6,0.5,18.95
43,2017.08.14,3.4,0.0,8.1,0.0,21.15
44,2017.08.15,3.2,0.0,3.4,0.0,21.3
45,2017.08.16,2.8,0.0,3.2,0.0,23.55
46,2017.08.17,2.4,0.0,2.8,0.0,25.45
47,2017.08.18,3.8,0.0,2.4,0.0,26.6
48,2017.08.19,7.9,0.3,3.8,0.0,17.799999999999997
49,2017.08.20,7.2,7.8,7.9,0.3,18.25
50,2017.08.21,6.1,0.0,7.2,7.8,16.6
51,2017.08.22,2.7,0.0,6.1,0.0,17.25
52,2017.08.23,3.5,0.0,2.7,0.0,17.7
53,2017.08.24,2.9,0.1,3.5,0.0,21.8
54,2017.08.25,2.2,0.0,2.9,0.1,23.299999999999997
55,2017.08.26,2.6,0.0,2.2,0.0,25.25
56,2017.08.27,4.4,0.0,2.6,0.0,21.15
57,2017.08.28,3.7,0.0,4.4,0.0,20.2
58,2017.08.29,3.0,0.0,3.7,0.0,20.05
59,2017.08.30,3.5,0.0,3.0,0.0,20.65
60,2017.08.31,3.9,0.0,3.5,0.0,23.4
61,2017.09.01,3.8,2.9,3.9,0.0,19.1
62,2017.09.02,4.8,10.9,3.8,2.9,17.65
63,2017.09.03,4.8,2.2,4.8,10.9,15.5
64,2017.09.04,6.7,1.9,4.8,2.2,15.600000000000001
65,2017.09.05,5.9,0.0,6.7,1.9,16.3
66,2017.09.06,6.7,2.1,5.9,0.0,16.05
67,2017.09.07,7.4,0.0,6.7,2.1,15.049999999999999
68,2017.09.08,3.0,0.0,7.4,0.0,17.9
69,2017.09.09,4.4,1.0,3.0,0.0,19.9
70,2017.09.10,5.4,0.0,4.4,1.0,22.35
71,2017.09.11,4.5,3.4,5.4,0.0,17.200000000000003
72,2017.09.12,6.6,1.8,4.5,3.4,17.3
73,2017.09.13,6.6,0.0,6.6,1.8,17.65
74,2017.09.14,9.8,0.8,6.6,0.0,14.75
75,2017.09.15,8.2,0.5,9.8,0.8,16.05
76,2017.09.16,3.6,1.8,8.2,0.5,13.0
77,2017.09.17,8.2,11.6,3.6,1.8,13.8
78,2017.09.18,3.4,0.8,8.2,11.6,13.05
79,2017.09.19,5.3,9.9,3.4,0.8,14.4
80,2017.09.20,2.7,15.0,5.3,9.9,13.0
81,2017.09.21,7.5,5.4,2.7,15.0,13.75
82,2017.09.22,7.0,0.4,7.5,5.4,11.7
83,2017.09.23,7.7,16.9,7.0,0.4,12.95
84,2017.09.24,5.8,0.2,7.7,16.9,13.899999999999999
85,2017.09.25,3.6,0.9,5.8,0.2,14.35
86,2017.09.26,4.1,0.0,3.6,0.9,14.399999999999999
87,2017.09.27,4.5,0.0,4.1,0.0,12.3
88,2017.09.28,3.8,0.0,4.5,0.0,11.15
89,2017.09.29,2.1,0.0,3.8,0.0,10.6
90,2017.09.30,2.1,0.0,2.1,0.0,10.45
91,2017.10.01,2.4,0.0,2.1,0.0,10.05
92,2017.10.02,5.3,0.0,2.4,0.0,10.25
